CPU utilization for five seconds: 45%; one minute: 52%; five minutes: 48%

PID    Process Name         CPU Time   Invoked    uSecs      5Sec     1Min      5Min
1      init                 0          1000       0          0.0%     0.0%      0.0%
45     bgpd                 156789     5678910    27         12.3%    15.2%     14.1%
67     ospfd                78234      2345678    33         8.5%     10.1%     9.8%
89     rib_mgr              45123      1234567    36         5.2%     6.3%      6.1%
102    vshd                 34567      456789     75         3.4%     4.1%      4.0%
123    syslogd              23456      345678     67         2.1%     2.5%      2.4%
145    ntp                  12345      234567     52         1.8%     2.2%      2.1%
167    snmp                 89234      678901     131        2.3%     2.9%      2.8%
189    lldpd                5678       123456     45         0.9%     1.2%      1.1%
201    mgmt_server          34567      456789     75         3.1%     3.8%      3.7%
223    kernel               567890     12345678   45         4.2%     5.1%      5.0%
245    disk_monitor         2345       123456     19         0.2%     0.3%      0.3%
267    fcs                  123456     789012     156        6.7%     8.2%      8.0%
289    ifm                  234567     1234567    189        8.9%     10.5%     10.2%
301    stp                  45678      567890     80         2.3%     2.8%      2.7%
